magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
5.2,10,3,375,58,1.0366863428868154,113.90446991907125,23.471371148175002,-86.81150689030997,168.38638367727094,2009,3,0
5.6,7,8,968,131,2.711283243432483,138.4056080228103,310.9026358574081,36.57596125958764,-64.2449403367663,1972,2,0
3.5,3,4,783,103,0.9722611174104279,178.93469783620358,23.886337892139863,-86.09398285040251,179.3642492983393,1986,8,0
5.3,5,2,300,194,2.0527739282381394,1.9941394669757417,143.85553746643006,23.613854050812805,178.61892954129473,1971,3,0
5.9,4,1,544,156,0.9070708808528548,131.43122159592178,80.93934986906469,-60.549032026340086,-111.16421361117295,1984,7,0
7.0,2,10,423,97,1.9817387351068056,102.92207686847648,296.64294078775094,11.808634994647804,-67.41319817217594,2015,12,1
5.0,9,1,134,225,1.0087503199981505,78.1293916945722,444.68191804969206,0.7043445685080059,-5.024088545524478,1998,1,0
4.7,10,2,581,204,0.3435876148645506,22.96263142284676,62.92420623610643,-87.56754438488714,59.07624161324074,2019,12,1
5.0,1,1,827,78,2.588115744872214,73.63532675427771,283.4312674354711,-24.684152940881376,10.097081641367737,2017,6,0
6.4,8,3,579,123,1.303081924038469,63.78789293750435,62.53521003239564,18.19641013133449,168.99892888761246,2021,12,0
5.8,9,1,164,217,1.9785830743653496,54.509380016173594,67.97123258267644,62.74917934178035,80.63609912484895,1991,12,0
5.0,8,9,107,3,1.23617188744115,131.55833219799737,185.76877410523974,69.95558049057311,-103.66385422212922,1973,9,0
6.0,0,8,400,89,0.27046465967528066,126.13059383116749,46.16088991983386,-2.907005394019805,-142.1648819230902,2021,12,0
5.6,9,1,442,103,3.4125839670357885,106.02361637656408,63.30365479213593,41.116047713898865,67.82446465536842,1975,3,0
6.5,2,8,530,118,1.5324523821364984,168.959666392807,76.41215157741176,-33.03817622397762,-122.95712153492532,2007,7,0
4.8,7,5,523,132,0.4674270334417727,62.973789152553806,12.380396621775759,-28.40644696344166,103.5636625208715,1995,6,0
5.2,5,0,431,95,2.917494205478074,43.884348787832316,152.64648536303656,-54.99656654718353,-68.02679978627869,1980,8,0
5.1,4,3,537,142,0.9812356608184358,118.06259635771193,351.6967432287001,11.150659798783067,-62.318425299981655,1995,3,0
4.0,4,0,687,287,4.354425476193979,35.78653096873253,13.45771313276498,-33.378452833074256,-176.1125787397757,1986,3,0
5.8,5,5,273,27,0.7312753635048572,56.70189129301643,187.57999359918205,-74.81323864106909,72.36405615421464,1993,4,0
5.8,6,3,658,277,0.9020213110750648,40.42843921347927,378.1457882011067,33.301095599372175,-139.22288889671313,1997,3,0
5.5,0,2,626,232,3.858912022686347,12.447642189330221,29.66728882604737,37.39557736897167,98.23700788686654,2004,9,0
5.3,8,2,972,16,0.30524858039081293,148.9497734944212,287.0739561647574,-25.201364619769592,-2.927584109805565,2000,11,0
4.1,2,8,758,58,1.3648668547834408,45.81729772589901,388.00476908358866,-76.1897880979159,102.34073338364487,1982,4,0
5.1,3,5,125,89,2.076536112159195,85.14495060174372,27.0764802125356,-13.266410867383328,30.213554111186852,2004,6,0
5.2,9,8,919,198,2.7762587914902186,7.79674918577615,61.641706566363936,-10.379617550961214,-150.32402207316332,1985,8,0
4.7,0,4,704,25,1.449661845582347,125.88110392547576,13.585105981614703,30.36075928162073,95.63484121386591,1984,11,0
5.3,10,1,505,24,0.0290268875049442,59.50098041513235,33.60964298738091,-33.225049573436976,-154.8721854378901,2012,8,0
5.9,9,7,331,266,1.3284887850009888,134.0526110092578,268.1645335711039,32.86787036063498,-7.667380595040385,1987,5,1
7.4,2,4,632,180,0.37102668200241806,74.2325508842159,104.74503590191915,66.8679375163299,-117.95428290781322,2016,5,0
5.7,1,1,918,67,1.3735175145467855,35.23600915301243,357.61308722109385,-47.25251237480403,90.84066407203858,2006,6,0
5.8,1,3,649,48,3.4422243186352874,92.37151481076646,110.15151054524361,86.20552010158195,148.17284201020556,2017,10,0
5.4,0,8,887,174,2.1338877874656905,23.490820734739163,202.8849839235127,-20.453735315374743,19.48541880897872,2017,7,0
3.6,7,3,604,51,1.3099696571475083,79.29704877713905,154.75544231173575,-41.89343667352888,9.77302594770498,2018,10,0
5.5,2,3,768,101,2.107736248909511,57.11498593568758,296.1120857738413,-14.12798714814771,95.02675067722248,2010,7,0
5.6,2,1,278,215,2.2151209778637786,164.15272515593398,85.73109620258258,-73.00845433730535,-178.1716273287382,1996,4,0
8.0,5,5,231,187,0.6168111544530879,10.967169909729591,137.01687959325474,-67.37293682781919,150.39311134865784,2004,6,0
5.3,7,10,922,56,1.062584066823547,124.92313453903357,440.8594476050623,-15.401871545700345,-108.91842584719258,2021,7,0
5.8,8,1,554,46,4.843791488998773,32.895209877738466,298.93055630706016,47.240013949038,174.2827981774454,2014,5,0
5.5,8,6,447,158,2.8192314775477993,57.42811337980317,56.18508355649985,72.05620312340835,85.05142126576641,2004,5,1
4.3,3,2,639,173,0.2448466612582002,74.79253135117187,36.22937663638754,29.66723832892876,98.73041317224158,1997,2,0
6.6,4,2,871,241,0.09518815582356766,163.44271608749537,269.01177329627717,-71.06048005712945,56.23307293449838,2008,7,0
6.3,1,4,505,281,0.04521141523659655,43.664087893288524,215.85678268517736,30.96355719249631,-10.201254197342308,2007,12,0
6.3,10,2,175,240,2.2994799253930855,16.43558445804064,133.71533653201658,24.377025726534953,25.785969610019578,1978,6,0
4.6,8,1,678,4,3.411461381674326,57.364128718294246,15.40273719869765,55.037505292799636,-163.29496103455477,1981,11,0
6.9,7,9,953,83,1.8732505667200872,18.841674696396,34.72207274663333,58.54475999739256,44.62542339552513,1984,1,0
4.1,2,8,591,247,1.235743524803227,23.14736747289945,20.496087076388775,66.2765536402162,45.39531671533683,1990,4,0
6.1,10,1,293,53,0.3337669635508427,103.29310763550481,12.073756716258998,-15.4563273757623,140.83228706465138,2021,3,0
7.7,8,10,261,160,1.4940597183752902,10.962347957908797,70.22962731919652,35.61559116338597,2.036288674878989,2004,12,0
4.5,2,1,446,225,0.23018258014431425,5.567558650841886,103.03972718966037,-41.714935393984064,-152.22802532901804,2011,3,0
4.9,8,7,460,14,1.903648320816858,128.5945382646896,79.26305915386877,89.88053039703078,-69.76946862645076,2002,7,0
5.6,1,8,868,223,3.4552385351686734,65.09647707138801,85.47583418289355,-58.43983655216521,56.026588361154296,2020,11,0
5.0,9,6,683,60,0.5087190055431638,22.56756286209719,369.9746464438094,-88.17940230104955,-93.86680940947299,1988,12,0
3.9,8,2,186,121,0.512751439496021,45.65029875474748,69.97483372016313,-63.21443138672832,-79.00998413205566,1992,10,0
5.6,7,8,361,276,1.9845361759439362,115.57557132343183,269.6658401388096,49.6570121179428,115.36884588990722,1982,4,0
4.4,8,2,313,45,3.151700304019081,49.59658208535321,130.0858450928979,-9.578938228521935,30.355103434575256,2013,12,0
6.0,4,4,764,293,1.385695978627932,89.01380252167343,168.4203922086286,-9.44995539412291,3.0698754384860933,1970,8,0
4.6,10,8,821,61,0.7905664814912425,21.90515521080101,113.45675000661541,81.90412553010034,-65.35729194991043,2020,11,0
7.0,10,2,672,85,0.5479803254626733,105.85685476898045,205.15713135864402,75.53428344505338,83.134092935892,1998,9,0
4.7,1,6,879,209,0.017728107537618998,56.89398309178753,9.421789439708242,-33.984947195278345,-76.42136358358944,1993,3,0
5.2,7,0,361,77,0.9426834587930185,112.85431821516897,17.329320873057156,-52.36953681944409,85.34286635190307,1985,5,0
6.3,5,3,829,201,2.8479767069044537,145.51107881472413,60.87029570940333,62.726797788073156,-154.76346710372087,1994,4,0
4.3,7,3,382,222,2.806082894104826,110.09635549019863,218.6853934243391,73.08343278798537,131.23488296955009,1992,12,0
5.7,10,6,747,221,0.3829152549587639,53.23456126710372,244.41816375129218,7.487446103727649,-0.1560731846641943,1997,10,0
6.8,4,7,566,2,0.27392554541947256,46.03386627869407,310.68668830314743,23.29626800107809,-22.1371139883708,2016,6,0
3.9,9,0,479,5,0.8851420173434594,58.93577257202064,22.0062993989915,-43.75542875538719,39.96842815509282,1985,11,0
5.7,1,4,461,92,1.8782361156244243,29.631692382570872,154.84083418030932,54.14448383613444,44.70914624265737,2012,10,0
5.8,5,6,548,7,1.1224638078140723,32.610933153003614,205.78213604241148,23.782037120824157,-132.4673363196016,2007,4,1
6.3,4,3,540,234,0.9498414189444873,142.3243983420302,31.748489533674302,0.6324320336393896,92.24409233383676,1980,8,0
4.3,4,3,192,107,2.2766038210309203,69.2518637713401,171.64943054357303,-79.18045990588875,-80.66581273797735,1972,3,0
4.2,0,3,720,160,3.250857053444003,78.47913250270545,368.816426390369,74.86829325200767,145.78627686116903,1984,11,0
6.0,1,5,852,208,0.8858548470820611,106.92890380202601,28.50434098575974,20.781255669193087,114.4262388293397,1970,5,0
5.8,7,6,966,239,0.8260941784838989,106.13762912727857,71.82695384276197,-55.31560295526577,-55.34422504749054,1976,1,0
5.8,2,1,523,49,0.058331137667374744,12.127836873946631,377.7583862667852,19.149501056949504,110.78614555225721,1970,6,1
5.8,9,4,241,10,2.5120029208675674,149.67734154077982,172.0117535112407,31.943403763195207,-51.699420252034486,2018,11,0
4.8,2,3,390,155,1.1746573609950905,31.918779580309096,101.48601521160268,4.638660602980593,-143.65883461102538,2001,5,0
5.7,7,2,531,69,0.8484418346771159,130.1528944889404,144.15213268051014,39.258312832084044,166.27976594125488,1978,8,0
5.8,7,6,848,168,1.4695745648697194,139.08077786306998,210.56081164264413,14.66171062715236,54.93672547755841,1998,9,0
4.8,1,10,951,271,0.943510084711839,128.68191613643646,629.3037211039492,80.59852476578669,-15.80417040146699,1995,8,0
7.4,7,5,923,67,3.318568446488826,104.21597637974614,226.10153277570788,-80.33452585212477,-36.80159344882571,1992,8,0
6.0,10,6,788,251,0.12371489704040162,2.6296194795989147,149.21769925851297,-70.87577247547911,-63.10607966702497,2014,12,0
4.3,0,4,752,47,0.29593867525282036,64.86758862537073,194.2185592972192,-58.73910534821883,173.32113435448656,2012,3,0
6.2,5,5,800,183,1.0751802771029841,108.87109728526461,15.62306663370849,34.23079270877979,-131.49098455287333,1998,4,0
4.5,7,4,148,186,0.19001854641146454,69.74123326605697,17.5301459186297,26.207257094965556,-66.67017878859541,2021,11,0
6.3,2,6,401,89,0.6379632119992318,155.42638108430634,20.08909684724331,70.57059483774492,-5.220849498241137,2007,4,0
6.7,7,1,980,138,1.3271132629790856,55.584409562930766,64.98999107737538,41.9179415191017,-7.9201637804478935,2002,11,0
4.7,0,10,289,88,1.031421048287715,52.83626264255888,20.488973155203524,1.503987761626604,-10.308065613176353,1976,5,0
6.5,10,4,235,273,0.6186132501019646,47.87958475667843,21.42143844978375,88.52972264345345,-116.71782630106254,1981,9,0
5.9,10,5,654,18,1.8837090385419588,59.90055641294319,1.06309823317374,-42.10056788952615,-127.8242902405798,2000,12,0
6.3,8,5,503,153,3.2752193006948107,100.33289357655369,4.535606316019965,59.97449876138171,-88.28366892169677,2001,9,0
7.4,10,4,991,259,1.5367575230065353,127.26275296906634,98.60237140194016,-13.17773300509451,149.22941536874015,1989,10,0
5.3,8,9,964,107,2.81524727443321,119.26222519298132,65.75860364156918,26.772324997632154,-139.30093157957634,2020,12,0
4.7,4,6,701,284,3.980696456005158,145.38920759666632,83.47249070234061,40.90832468143813,92.67303721439691,1986,1,0
4.6,9,9,906,58,2.120385203606589,159.46451918953647,354.45951266889654,24.075735694260544,92.71742152801369,2005,8,0
4.7,3,7,440,124,3.9346273797826763,146.89422762180322,65.34684774330229,-64.70868544045321,111.51734540301442,1972,1,0
5.4,10,6,856,272,2.636085379224751,3.4101726073838234,492.17819856015626,-10.268818065372102,139.181576036168,1970,2,1
5.8,5,4,803,106,2.9357731283058386,132.46523163935797,120.53790796452238,11.058908027962389,-85.3069760859851,2019,7,0
5.8,6,0,417,298,1.307900340401627,37.51192325129969,39.45191817656749,62.82787665214741,-99.1585910631973,1996,8,0
6.3,4,4,717,244,0.606555981715251,23.927047687436875,319.9166478093999,-10.14376521625698,-12.417960050107297,2022,1,1
5.5,10,9,462,246,1.5602217815982409,114.92798126384439,34.09454645836028,75.37451486476527,-84.56789924926699,2016,3,0
7.0,9,1,921,7,0.0631776203698089,57.553775173385084,428.73683034682574,-10.732639855462082,84.35159603391872,2009,7,1
5.2,8,4,481,140,1.6508212763503485,10.281089406679786,49.19937163296323,8.780374667342102,48.93824762691611,2002,9,0
8.2,2,4,332,7,2.940179386026066,24.773352191705044,0.16483241120844383,53.33142292970419,134.99556769895452,1989,8,0
6.1,6,1,876,93,1.0643983678216193,0.1672950365929915,371.30947725766697,14.952183195985853,-150.21421074465422,1983,8,0
4.6,9,4,443,38,3.0170141801531996,162.58025292204732,129.51333700007336,82.83925302890844,149.43000000890692,2005,9,0
4.4,9,3,648,80,1.1414628683934487,4.431237091422946,16.530963615654443,28.86044949254297,-74.39449439876776,1974,10,0
6.0,10,0,916,186,3.591224107046482,37.70203851171199,303.52787521209177,4.087701732168185,-3.3500354662857603,1992,3,0
5.3,4,2,652,83,0.6043819182270922,74.92730052382332,128.88170654483602,-85.75344579945674,-22.099883061728264,2014,8,1
6.2,6,0,628,87,2.503976369481742,64.18283867114744,15.708635005373218,-15.528078435540635,93.71219439759261,1984,1,0
6.0,1,10,955,241,0.31740511051004905,164.11065784429962,101.2971332946068,-36.135284533171124,-28.68000860453668,1975,8,0
5.4,3,4,888,92,2.4429349293330676,7.252010232217581,120.34914537500615,44.65902021974807,159.6791324337874,2002,7,0
4.7,1,3,918,85,1.3488923623417246,92.19864738186928,44.13977135634624,-52.51001847236176,144.91219774988718,1988,8,0
4.0,6,6,670,43,0.6703742562359067,122.48630325438731,103.56585304143948,-53.06038428706707,133.97801470902232,1982,1,0
5.1,1,4,282,136,2.86082317259663,167.70563526261037,93.16930826557302,-55.88657221727218,-154.34700024663795,1998,6,0
6.4,10,9,140,73,0.6184348362916752,111.66682538226978,112.8944228890164,-67.38918963187753,127.5329021594182,1975,7,0
5.7,0,3,650,35,1.3201795289197156,144.67594248211728,148.51112275277592,-34.01873933924027,101.38876035955576,1984,11,0
4.3,8,1,496,100,2.243064152829876,15.070488812162711,236.80675199446716,69.4659805998165,-142.73533907779284,1985,5,0
5.7,0,3,803,155,3.341424698648601,69.46911196864693,209.87867172408764,49.48712501507188,-141.33084284296012,1993,5,0
5.9,7,1,878,254,4.0525490520488665,67.31048420623215,237.1348912771586,42.34521893522282,-143.58102785368519,1992,7,0
4.6,1,7,593,170,2.8694010146844766,159.53187896202917,50.89990975370488,53.52062501699328,-175.9202664463845,2017,11,0
5.7,7,2,758,215,0.15686451204370844,27.24681082738949,1.4742424399687124,-41.5047799206771,17.50834987005007,1979,3,0
5.6,2,8,432,169,0.5427938657233915,27.33951102059345,5.123578021732698,69.7395043354478,170.42194491697558,2010,6,0
4.4,5,3,226,251,2.108373206565525,59.14046697944372,254.22031458122163,-65.28539247451121,-22.07350695607431,2010,7,0
5.9,2,5,657,54,1.7794216897717026,9.803888526030764,314.0295643991658,-29.457769191195254,14.672700679448297,2018,1,1
6.1,6,9,656,90,3.4425189390870425,32.84244731744821,52.897220671484476,15.614661414121727,168.46912683718398,1986,12,0
6.6,9,4,100,277,4.719084128064868,173.73773493823234,127.46912550088348,-71.47708409843989,-88.13439764127695,2018,2,0
6.6,8,9,267,100,4.4007702926473335,77.07310917609111,321.9775093176816,41.42343379975648,129.04929093537464,2013,12,0
4.1,1,0,719,154,3.240907299697517,113.76345751603856,45.491504689423664,-20.295711323374505,16.700568196224992,2014,4,0
4.6,4,8,118,140,1.7918539734143457,130.70002668203466,277.19776708795484,51.19301980951201,25.011545278683855,1999,8,0
6.0,5,0,431,172,3.023987594418766,66.05305326129609,94.68472844935792,-1.2786685947715029,-56.457411405377925,2013,11,0
6.0,3,7,683,9,3.4921615205925938,26.500873393893055,24.022838978782815,-57.442585603439454,22.170369948086915,2015,10,0
6.0,3,8,555,227,0.7790494041174723,37.18458291992055,61.385761536992376,42.25712604396199,-153.66869658781778,1979,6,0
9.4,3,8,208,264,0.20100854123686096,56.387965784509866,82.00639134516553,-44.61408794899016,95.27168614108041,1988,1,0
6.1,1,0,367,247,0.1511315001075122,114.49231566340062,89.89695583216138,-1.6541457717522974,-77.5124058440622,1998,10,0
6.6,3,1,544,246,0.3145771001679549,71.69049883602979,191.71206297132898,-76.40401155175662,139.53899861782378,1971,5,1
6.5,10,0,339,154,1.0729929838897858,1.2266456220230615,94.7574733115687,21.21599779416661,-47.57374994131496,2005,7,0
6.2,0,9,400,33,1.3748525636765911,94.21329331214494,10.406848873894155,29.854397918929905,-128.58332022472226,1988,6,0
5.2,5,1,701,128,0.4996292016321975,165.8724105433352,169.64777536926726,-21.83864220489896,70.51736677265458,1976,12,0
6.3,0,9,202,159,0.1752832762030736,146.17396998156224,16.22133532241586,81.7961004577933,-120.75186790313897,1995,9,0
4.7,9,7,349,88,2.0518833387650908,148.5380468267336,102.12557152000525,67.35040586677232,91.32498559547656,1984,8,0
5.3,5,4,552,92,1.2724135993802648,143.1104431691036,109.73088965189811,37.42936483319906,168.52040510620196,2016,4,0
5.0,0,10,619,240,1.6444374109505118,58.271548609876255,82.1768765983538,38.45737340887368,100.63903276629424,2007,11,0
5.6,5,6,252,116,3.047723142838122,137.73489007579056,134.51853336550565,-44.567691310412776,-171.91827056472312,1972,12,0
7.8,9,1,958,93,2.296794862811193,25.76904440601474,430.63531851840384,28.226741595920814,35.9588836989989,2007,5,1
3.6,7,7,273,162,3.2783298721789946,118.38890650967163,409.9237520103867,-54.32287225760646,70.34784154910076,1985,7,0
6.2,10,10,442,98,1.119964742167106,115.482342003299,211.92737482170628,-64.07941969443202,117.1649972866627,1971,8,0
3.9,1,5,769,112,3.4176858869685938,4.602563836152241,342.9915917333877,89.90422095646443,-159.83916878195996,2000,5,0
5.0,1,7,530,90,1.5396051465361897,141.83462404636768,76.10312260081913,22.02766766517135,-7.161181937176906,1997,9,0
6.6,3,0,826,205,1.2530593916428043,162.5846589171235,291.70370064614417,-12.422182921705712,12.733514149821957,1976,10,0
5.6,10,0,788,16,3.192289309414755,48.13475012497938,110.95974971497705,-38.13038588088876,-119.1150494480959,1999,12,0
4.4,2,6,786,273,0.30823051878994256,146.23033035350716,159.77008516176565,18.705679859200927,-63.91806850416613,2012,4,0
